id;name;address;phone
1;copying systemic;Intranet Electronics;761.383.5387 x975
2;revolutionary International;solid state;778.594.6462
3;withdrawal array Buckinghamshire;composite;(535) 425-5528 x640
4;quantifying;ubiquitous;(040) 001-9287
5;Mills primary;JSON;075-514-3924 x558
6;modular invoice collaboration;Consultant Borders Executive;(170) 725-7524 x06200
7;Planner Creative XSS;Regional;(257) 775-0066 x400
8;HDD transmit Metal;synthesize Rubber;328.236.8799
9;niches copying;cross-platform;1-599-732-0050
10;Metal functionalities Group;Accountability bleeding-edge;203-161-8156
